127.0.0.1_29002 -> 18:57:17.641871 raft.go:157: logger initialized
127.0.0.1_29002 -> 18:57:17.642125 raft.go:433: Now i am a follower
127.0.0.1_29002 -> 18:57:18.933278 raft.go:452: Now i am a candidate
127.0.0.1_29002 -> 18:57:18.934742 raft.go:517: Voto solicitado
127.0.0.1_29002 -> 18:57:18.934778 raft.go:519: Voto recibido
127.0.0.1_29002 -> 18:57:18.934791 raft.go:465: Voto procesado
127.0.0.1_29002 -> 18:57:18.934800 raft.go:469: Voy a ser lider
127.0.0.1_29002 -> 18:57:18.934810 raft.go:485: Now i am a leader
127.0.0.1_29002 -> 18:57:18.934943 raft.go:517: Voto solicitado
127.0.0.1_29002 -> 18:57:18.934959 raft.go:519: Voto recibido
127.0.0.1_29002 -> 18:57:19.024826 raft.go:205: Estado actual 1 1 true 1
127.0.0.1_29002 -> 18:57:19.616123 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:19.616889 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:20.290196 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:20.290196 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:20.967224 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:20.967338 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:21.644313 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:21.644426 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:22.321940 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:22.322092 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:22.999103 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:22.999520 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:23.682353 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:23.682478 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:24.352547 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:24.352660 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:25.029510 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:25.030251 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:25.707232 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:25.709178 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:26.383214 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:26.383388 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:27.059998 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:27.060237 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:27.738695 raft.go:547: Append enviado
127.0.0.1_29002 -> 18:57:27.738833 raft.go:547: Append enviado
